validation_day,gate_min,lambda,W,n_blended
2025-09-05,360,0.4,0.9183842657778898,10
2025-09-05,480,0.05,0.9211065011660409,9
2025-09-05,480,0.1,0.9206307896674611,9
2025-09-05,480,0.15,0.9190421350085262,9
2025-09-05,480,0.2,0.9153074543298588,9
2025-09-05,480,0.3,0.9167706602098962,9
2025-09-05,480,0.4,0.9220087354955232,9
2025-09-05,600,0.05,0.9215172992860294,8
2025-09-05,600,0.1,0.9206693140165665,8
2025-09-05,600,0.15,0.9190700016190593,8
2025-09-05,600,0.2,0.9152864247193782,8
2025-09-05,600,0.3,0.9108633642445483,8
2025-09-05,600,0.4,0.9174376567896153,8
2025-09-05,720,0.05,0.9211271289468916,7
2025-09-05,720,0.1,0.9190573483540698,7
2025-09-05,720,0.15,0.915174349431688,7
2025-09-05,720,0.2,0.908377909817599,7
2025-09-05,720,0.3,0.8996079735177805,7
2025-09-05,720,0.4,0.8979944955629562,7
2025-09-05,840,0.05,0.9210100367860459,6
2025-09-05,840,0.1,0.9189658210763494,6
2025-09-05,840,0.15,0.9147905340280097,6
2025-09-05,840,0.2,0.9086107412121918,6
2025-09-05,840,0.3,0.8996909289745026,6
2025-09-05,840,0.4,0.8994218847541556,6
2025-09-05,960,0.05,0.9223831519558312,5
2025-09-05,960,0.1,0.9207466301365088,5
2025-09-05,960,0.15,0.9185325527592986,5
2025-09-05,960,0.2,0.9126328663666844,5
2025-09-05,960,0.3,0.9071002644674326,5
2025-09-05,960,0.4,0.9181042057717015,5
2025-09-05,1200,0.05,0.9199058778267849,3
2025-09-05,1200,0.1,0.9182488444307326,3
2025-09-05,1200,0.15,0.921010183885552,3
2025-09-05,1200,0.2,0.921002693112538,3
2025-09-05,1200,0.3,0.9268551051303187,3
2025-09-05,1200,0.4,0.9405783915045289,3
2025-09-06,360,0.05,0.9308817485864351,9
2025-09-06,360,0.1,0.9330459839452894,9
2025-09-06,360,0.15,0.9345662589861597,9
2025-09-06,360,0.2,0.9348870989135639,9
2025-09-06,360,0.3,0.9370973398518413,9
2025-09-06,360,0.4,0.936004037266606,9
2025-09-06,480,0.05,0.930242804982254,8
2025-09-06,480,0.1,0.9316934096503446,8
2025-09-06,480,0.15,0.9324121338454971,8
2025-09-06,480,0.2,0.9318250308261249,8
2025-09-06,480,0.3,0.9318271807616301,8
2025-09-06,480,0.4,0.9283261820901699,8
2025-09-06,600,0.05,0.930757776992611,7
2025-09-06,600,0.1,0.9325121146619688,7
2025-09-06,600,0.15,0.9340773940824969,7
2025-09-06,600,0.2,0.9350808773728184,7
2025-09-06,600,0.3,0.9358458501602754,7
2025-09-06,600,0.4,0.9345191764346692,7
2025-09-06,720,0.05,0.9313151961965459,6
2025-09-06,720,0.1,0.9338714518368683,6
2025-09-06,720,0.15,0.9366927406518519,6
2025-09-06,720,0.2,0.9387443504894712,6
2025-09-06,720,0.3,0.9401067154933662,6
2025-09-06,720,0.4,0.9404168101743009,6
2025-09-06,840,0.05,0.931028121653294,5
2025-09-06,840,0.1,0.9340784964769657,5
2025-09-06,840,0.15,0.9380308021184165,5
2025-09-06,840,0.2,0.9406372717458794,5
2025-09-06,840,0.3,0.9459794352600739,5
2025-09-06,840,0.4,0.9461725850185798,5
2025-09-06,960,0.05,0.9306619724097653,4
2025-09-06,960,0.1,0.9333522076660077,4
2025-09-06,960,0.15,0.9364731102347492,4
2025-09-06,960,0.2,0.9375770431581106,4
2025-09-06,960,0.3,0.9386813434948398,4
2025-09-06,960,0.4,0.9373519535434164,4
2025-09-06,1200,0.05,0.9260531707731179,2
2025-09-06,1200,0.1,0.9238302432846308,2
2025-09-06,1200,0.15,0.9216742200679606,2
2025-09-06,1200,0.2,0.9193293102456661,2
2025-09-06,1200,0.3,0.9155413986328202,2
2025-09-06,1200,0.4,0.9119445742827776,2
2025-09-07,360,0.05,0.8865296354311417,19
2025-09-07,360,0.1,0.8873882394257613,19
2025-09-07,360,0.15,0.8884243611386216,19
2025-09-07,360,0.2,0.8893869466501891,19
2025-09-07,360,0.3,0.8910280739543498,19
2025-09-07,360,0.4,0.8922777595759169,19
2025-09-07,480,0.05,0.8865655698192645,18
2025-09-07,480,0.1,0.8874885311150689,18
2025-09-07,480,0.15,0.8885828506270799,18
2025-09-07,480,0.2,0.8896467455629031,18
