run_id,satellite_id,model,target,mae,rmse,bias,std,shapiro_w,shapiro_p
official_calib_check,UNKNOWN,bilstm_gru,x_error_m,0.17516131019851833,0.2548685347886443,0.1292293976468434,0.21967642752271893,0.8429662955346333,0.006573032931961306
official_calib_check,UNKNOWN,bilstm_gru,y_error_m,0.06584845346900241,0.08041414655561978,-0.04459976039269078,0.06691260224489305,0.9095661254768117,0.0845318023673663
official_calib_check,UNKNOWN,bilstm_gru,z_error_m,0.1354208629999268,0.21874642856521587,0.025211782580363693,0.21728866981312572,0.810947297769151,0.002177617488702371
official_calib_check,UNKNOWN,bilstm_gru,clock_error_m,0.02844236631690407,0.05079684611818933,0.002911691257201898,0.05071332792844246,0.7107048985731582,0.00010664093654091914
official_calib_check,UNKNOWN,transformer,x_error_m,0.20507409495376658,0.2909021787319545,0.1878890339846732,0.2220850929245462,0.8488189180037,0.008113657934363399
official_calib_check,UNKNOWN,transformer,y_error_m,0.04190967891502379,0.060615108192588404,0.02977444666501587,0.052798424853316636,0.8491465959791488,0.008210549085479926
official_calib_check,UNKNOWN,transformer,z_error_m,0.16187269384570674,0.2324082126955613,0.07452190665963629,0.22013646394034253,0.819735371697017,0.002926186732969251
official_calib_check,UNKNOWN,transformer,clock_error_m,0.02856242173898809,0.05079705847367707,0.001900843567684273,0.0507614809014607,0.7080558339458508,9.922279986969391e-05
official_calib_check,UNKNOWN,decoupled_clock,x_error_m,0.15496980156455742,0.22263106947635838,0.06710678770301799,0.212276405048628,0.8264618409272788,0.0036830646585807457
official_calib_check,UNKNOWN,decoupled_clock,y_error_m,0.12304972250345173,0.14013988981430162,-0.08010533634766265,0.11498836378430836,0.9241158509182331,0.15289044595006474
official_calib_check,UNKNOWN,decoupled_clock,z_error_m,0.13687370780684147,0.21686286095147178,-0.0038889849492013654,0.21682798771404554,0.8392899258596096,0.005766704947424024
official_calib_check,UNKNOWN,decoupled_clock,clock_error_m,0.029240195481807032,0.05106799989802432,0.0009228609395101266,0.05105966060669556,0.7110123309472164,0.00010753937134380425
official_calib_check,UNKNOWN,nhits,x_error_m,0.19822287985599107,0.27423769803756176,0.161725865143452,0.22147473799181455,0.8685961442774788,0.01687141204563378
official_calib_check,UNKNOWN,nhits,y_error_m,0.08536208904538006,0.10168193869740025,0.07770798593473309,0.0655796125272877,0.9505734151126347,0.43408307949880187
official_calib_check,UNKNOWN,nhits,z_error_m,0.23309796593548635,0.3104340237362105,-0.22060906835135705,0.21840540756629723,0.8485587579363628,0.00803759563357106
official_calib_check,UNKNOWN,nhits,clock_error_m,0.03227073446070207,0.054984002376786086,0.00954473626132812,0.05414922462115323,0.7541575209624425,0.00036644776532219944
