dataset,validation_day,variable,sample_index,residual
GEO,2025-09-07,x_error (m),11,8.177376613
GEO,2025-09-07,x_error (m),12,-8.076878119
GEO,2025-09-07,x_error (m),13,-2.611180637
GEO,2025-09-07,x_error (m),14,-0.13440010699999982
GEO,2025-09-07,x_error (m),15,-3.416040018
GEO,2025-09-07,x_error (m),16,-2.132791333
GEO,2025-09-07,x_error (m),17,0.7715595920000002
GEO,2025-09-07,x_error (m),18,6.822575733000001
GEO,2025-09-07,x_error (m),19,-1.829171229
GEO,2025-09-07,x_error (m),20,-5.556218293
GEO,2025-09-07,x_error (m),21,-3.211275399
GEO,2025-09-07,x_error (m),22,-3.345178608
GEO,2025-09-07,x_error (m),23,0.10676368000000003
GEO,2025-09-07,x_error (m),24,-3.309748348
GEO,2025-09-07,x_error (m),25,3.606118541
GEO,2025-09-07,x_error (m),26,-1.432085026
GEO,2025-09-07,x_error (m),27,0.04608556600000013
GEO,2025-09-07,x_error (m),28,6.280089099
GEO,2025-09-07,x_error (m),29,4.982324082
GEO,2025-09-07,x_error (m),30,-8.349646736
GEO,2025-09-07,x_error (m),31,-8.326488572999999
GEO,2025-09-07,x_error (m),32,0.7153380100000002
GEO,2025-09-07,x_error (m),33,1.7421949990000003
GEO,2025-09-07,x_error (m),34,-1.700416837
GEO,2025-09-07,x_error (m),35,-2.177812099
GEO,2025-09-07,x_error (m),36,-1.215342116
GEO,2025-09-07,x_error (m),37,-1.5259837139999999
GEO,2025-09-07,x_error (m),38,1.3963730890000001
GEO,2025-09-07,x_error (m),39,2.615461644
GEO,2025-09-07,x_error (m),40,1.919561412
GEO,2025-09-07,x_error (m),41,-11.989157545
GEO,2025-09-07,x_error (m),42,17.500640815
GEO,2025-09-07,x_error (m),43,-14.210150665
GEO,2025-09-07,x_error (m),44,17.270216915000002
GEO,2025-09-07,x_error (m),45,-21.283397894999997
GEO,2025-09-07,x_error (m),46,21.995490045
GEO,2025-09-07,x_error (m),47,-2.463824924
GEO,2025-09-07,x_error (m),48,-2.636237632
GEO,2025-09-07,x_error (m),49,0.1280562730000001
GEO,2025-09-07,x_error (m),50,-3.0548389
GEO,2025-09-07,x_error (m),51,-1.338336375
GEO,2025-09-07,x_error (m),52,1.0117239770000002
GEO,2025-09-07,y_error (m),0,-5.259150475
GEO,2025-09-07,y_error (m),1,-1.256210607
GEO,2025-09-07,y_error (m),2,4.159282654
GEO,2025-09-07,y_error (m),3,-1.321801286
GEO,2025-09-07,y_error (m),4,-1.35514509
GEO,2025-09-07,y_error (m),5,-12.246848972
GEO,2025-09-07,y_error (m),6,18.687183718
GEO,2025-09-07,y_error (m),7,-3.9819269669999997
GEO,2025-09-07,y_error (m),8,0.936164349
GEO,2025-09-07,y_error (m),9,0.5101917309999999
GEO,2025-09-07,y_error (m),10,-28.129223742
GEO,2025-09-07,y_error (m),11,22.346079908
GEO,2025-09-07,y_error (m),12,-16.481466442
GEO,2025-09-07,y_error (m),13,-2.800071657
GEO,2025-09-07,y_error (m),14,-0.44474977299999996
GEO,2025-09-07,y_error (m),15,-3.8492522879999997
GEO,2025-09-07,y_error (m),16,-2.620261505
GEO,2025-09-07,y_error (m),17,0.45928291600000004
GEO,2025-09-07,y_error (m),18,2.114915389
GEO,2025-09-07,y_error (m),19,-1.461179026
GEO,2025-09-07,y_error (m),20,-1.11620047
GEO,2025-09-07,y_error (m),21,-3.160226688
GEO,2025-09-07,y_error (m),22,-3.448916134
GEO,2025-09-07,y_error (m),23,-0.71851141
GEO,2025-09-07,y_error (m),24,-2.72551506
GEO,2025-09-07,y_error (m),25,2.4758691080000004
GEO,2025-09-07,y_error (m),26,-0.878551036
GEO,2025-09-07,y_error (m),27,-0.03719665500000002
GEO,2025-09-07,y_error (m),28,0.6725183240000001
GEO,2025-09-07,y_error (m),29,38.908158008
GEO,2025-09-07,y_error (m),30,-42.482734541999996
GEO,2025-09-07,y_error (m),31,-1.812503763
GEO,2025-09-07,y_error (m),32,-0.30723243600000005
GEO,2025-09-07,y_error (m),33,-4.561470032
GEO,2025-09-07,y_error (m),34,3.7111354390000004
GEO,2025-09-07,y_error (m),35,-1.810854547
GEO,2025-09-07,y_error (m),36,-1.767238941
GEO,2025-09-07,y_error (m),37,-1.414374572
GEO,2025-09-07,y_error (m),38,1.695534717
GEO,2025-09-07,y_error (m),39,2.9924927610000003
GEO,2025-09-07,y_error (m),40,2.9351344260000003
GEO,2025-09-07,y_error (m),41,-19.822131042000002
GEO,2025-09-07,y_error (m),42,26.842019898
GEO,2025-09-07,y_error (m),43,-21.426146002
GEO,2025-09-07,y_error (m),44,26.530087788
GEO,2025-09-07,y_error (m),45,-31.344588702
GEO,2025-09-07,y_error (m),46,31.577421667999996
GEO,2025-09-07,y_error (m),47,-1.636856493
GEO,2025-09-07,y_error (m),48,-2.085096717
GEO,2025-09-07,y_error (m),49,-0.2901037369999999
GEO,2025-09-07,y_error (m),50,-2.3124325199999998
GEO,2025-09-07,y_error (m),51,-1.394264762
GEO,2025-09-07,y_error (m),52,1.02845142
GEO,2025-09-07,z_error (m),0,7.696574256
GEO,2025-09-07,z_error (m),1,5.217632765
GEO,2025-09-07,z_error (m),2,-2.4253669909999998
GEO,2025-09-07,z_error (m),3,5.3399202500000005
GEO,2025-09-07,z_error (m),4,5.348600391
GEO,2025-09-07,z_error (m),5,19.138943728999998
GEO,2025-09-07,z_error (m),6,7.837409794
GEO,2025-09-07,z_error (m),7,6.56306663
GEO,2025-09-07,z_error (m),8,6.417271335000001
GEO,2025-09-07,z_error (m),9,5.2931932690000005
GEO,2025-09-07,z_error (m),10,-14.683036200999998
GEO,2025-09-07,z_error (m),11,20.491162649
GEO,2025-09-07,z_error (m),12,2.875280806
GEO,2025-09-07,z_error (m),13,4.247452427000001
GEO,2025-09-07,z_error (m),14,6.822057683000001
GEO,2025-09-07,z_error (m),15,2.104056832
GEO,2025-09-07,z_error (m),16,3.4417584740000002
GEO,2025-09-07,z_error (m),17,7.5868770770000005
GEO,2025-09-07,z_error (m),18,1.3463341350000002
GEO,2025-09-07,z_error (m),19,5.502274446
GEO,2025-09-07,z_error (m),20,0.3087934040000002
GEO,2025-09-07,z_error (m),21,4.696416682000001
GEO,2025-09-07,z_error (m),22,6.100938325
GEO,2025-09-07,z_error (m),23,3.8375397390000003
GEO,2025-09-07,z_error (m),24,4.648792637
GEO,2025-09-07,z_error (m),25,8.640083848
GEO,2025-09-07,z_error (m),26,11.227548876
GEO,2025-09-07,z_error (m),27,7.759452125
GEO,2025-09-07,z_error (m),28,8.47951952
GEO,2025-09-07,z_error (m),29,44.537587859
GEO,2025-09-07,z_error (m),30,-26.244023931
GEO,2025-09-07,z_error (m),31,-3.557891315999999
GEO,2025-09-07,z_error (m),32,5.613093518
GEO,2025-09-07,z_error (m),33,6.5000455420000005
GEO,2025-09-07,z_error (m),34,12.421642769
GEO,2025-09-07,z_error (m),35,6.864802132
GEO,2025-09-07,z_error (m),36,1.0070615859999998
GEO,2025-09-07,z_error (m),37,6.394701142000001
GEO,2025-09-07,z_error (m),38,7.8006983860000005
GEO,2025-09-07,z_error (m),39,8.26142155
GEO,2025-09-07,z_error (m),40,1.0626656089999997
GEO,2025-09-07,z_error (m),41,-2.57280801
