dataset,validation_day,variable,n,mae,rmse,residual_mean,residual_std
MEO2,2025-09-07,x_error (m),34,0.7436731067352942,0.7678625281897168,0.7395296722058824,0.20666089645833755
MEO2,2025-09-07,y_error (m),34,1.0315961675294116,1.0348128968472547,1.0315961675294116,0.08152961805403636
MEO2,2025-09-07,z_error (m),34,0.4283795884705882,0.4652200526963498,0.423239498,0.19312696539712557
MEO2,2025-09-07,satclockerror (m),34,0.08400866399999998,0.08616784163115361,0.08155310452941175,0.02782064113183609
MEO2,2025-09-08,x_error (m),6,0.09692363283333334,0.10712333465920665,0.08894000916666667,0.05970832101090798
MEO2,2025-09-08,y_error (m),6,0.40356389083333327,0.5069477131784144,0.40356389083333327,0.3068096639812462
MEO2,2025-09-08,z_error (m),6,0.09745358833333333,0.10668523977956532,0.06007880133333335,0.0881605241430268
MEO2,2025-09-08,satclockerror (m),6,0.015063611666666666,0.016840902132672902,-0.0015721816666666654,0.016767356066156165
MEO2,2025-09-09,x_error (m),34,0.06950675055882352,0.15426885858450656,-0.03884343644117647,0.14929858731550932
MEO2,2025-09-09,y_error (m),34,0.23377347261764705,0.2780851987417068,-0.20254281761764706,0.19054601751471772
MEO2,2025-09-09,z_error (m),34,0.19330702985294118,0.2659635366483437,0.12060792344117649,0.23704499916619667
MEO2,2025-09-09,satclockerror (m),34,0.02267860355882353,0.03343862151198844,0.002860114735294116,0.03331607948608254
