validation_day,window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,W,champion_W,delta_W
2025-09-05,24,0,360.0,median,0.25,0.9239048479835366,0.9221173930801292,0.0017874549034073706
2025-09-05,24,0,360.0,median,0.5,0.9255237142119854,0.9221173930801292,0.003406321131856238
2025-09-05,24,0,360.0,median,0.75,0.9269697834041043,0.9221173930801292,0.004852390323975109
2025-09-05,24,0,360.0,median,1.0,0.9282389924298331,0.9221173930801292,0.00612159934970391
2025-09-05,24,360,720.0,mean,0.25,0.9198529121618481,0.9221173930801292,-0.002264480918281131
2025-09-05,24,360,720.0,mean,0.5,0.908688630144293,0.9221173930801292,-0.01342876293583617
2025-09-05,24,360,720.0,mean,0.75,0.8967431552943018,0.9221173930801292,-0.02537423778582737
2025-09-05,24,360,720.0,mean,1.0,0.8937827605228086,0.9221173930801292,-0.028334632557320605
2025-09-05,24,360,720.0,median,0.25,0.9204365329781341,0.9221173930801292,-0.0016808601019950853
2025-09-05,24,360,720.0,median,0.5,0.9095948709504715,0.9221173930801292,-0.012522522129657654
2025-09-05,24,360,720.0,median,0.75,0.9021112164227767,0.9221173930801292,-0.020006176657352492
2025-09-05,24,360,720.0,median,1.0,0.8981249237220272,0.9221173930801292,-0.023992469358101953
2025-09-05,24,720,1200.0,mean,0.25,0.920192177920569,0.9221173930801292,-0.001925215159560234
2025-09-05,24,720,1200.0,mean,0.5,0.9247688399994242,0.9221173930801292,0.0026514469192949752
2025-09-05,24,720,1200.0,mean,0.75,0.9233309191524958,0.9221173930801292,0.0012135260723665775
2025-09-05,24,720,1200.0,mean,1.0,0.9178958800962274,0.9221173930801292,-0.004221512983901832
2025-09-05,24,720,1200.0,median,0.25,0.9218206578205549,0.9221173930801292,-0.0002967352595742989
2025-09-05,24,720,1200.0,median,0.5,0.9283547518791833,0.9221173930801292,0.006237358799054071
2025-09-05,24,720,1200.0,median,0.75,0.926325112156302,0.9221173930801292,0.004207719076172789
2025-09-05,24,720,1200.0,median,1.0,0.9190166091751979,0.9221173930801292,-0.0031007839049312924
2025-09-05,24,1200,inf,mean,0.25,0.9268278434341242,0.9221173930801292,0.004710450353994977
2025-09-05,24,1200,inf,mean,0.5,0.9313950407592367,0.9221173930801292,0.009277647679107548
2025-09-05,24,1200,inf,mean,0.75,0.9398404423784437,0.9221173930801292,0.017723049298314475
2025-09-05,24,1200,inf,mean,1.0,0.9380702548971583,0.9221173930801292,0.01595286181702915
2025-09-05,24,1200,inf,median,0.25,0.927387797018331,0.9221173930801292,0.005270403938201773
2025-09-05,24,1200,inf,median,0.5,0.9291572169333799,0.9221173930801292,0.0070398238532507484
2025-09-05,24,1200,inf,median,0.75,0.9384599177411219,0.9221173930801292,0.01634252466099273
2025-09-05,24,1200,inf,median,1.0,0.9407481501673233,0.9221173930801292,0.018630757087194083
2025-09-05,48,0,360.0,mean,0.25,0.9235498188860518,0.9221173930801292,0.0014324258059226214
2025-09-05,48,0,360.0,mean,0.5,0.8646440655248441,0.9221173930801292,-0.057473327555285114
2025-09-05,48,0,360.0,mean,0.75,0.7606886579119687,0.9221173930801292,-0.16142873516816048
2025-09-05,48,0,360.0,mean,1.0,0.6894539206302625,0.9221173930801292,-0.23266347244986674
2025-09-05,48,0,360.0,median,0.25,0.9235498188860518,0.9221173930801292,0.0014324258059226214
2025-09-05,48,0,360.0,median,0.5,0.8646440655248441,0.9221173930801292,-0.057473327555285114
2025-09-05,48,0,360.0,median,0.75,0.7606886579119687,0.9221173930801292,-0.16142873516816048
2025-09-05,48,0,360.0,median,1.0,0.6894539206302625,0.9221173930801292,-0.23266347244986674
